"","unique_fish_id","est_standard_length","est_height_anus","region","year","station","sampling_date","bu_date","open_water_day","NASC_zoo","surf_sal_kgm3","surf_temp_degC","prof_mel","indstandard","carbon_mg","fish_WW","feeding_success","prey_range_um","prey_min_um","prey_max_um","prey_median_um","fish_cond","appendicularia","bivalve larvae","calanoid sp c","calanus glacialis c","calanus hyperboreus c","calanus sp c","calanus sp n","cyclopoidae sp c","egg","limacina helicina","other","other copepodite n","other copepodite sp","pseudocalanus sp c","pseudocalanus sp n"
"1","2009-547",15.384,2.3,"Mackenzie Shelf",2009,"260","2009-08-05","2009-06-22",44,12.1756506915521,29.4630833333333,4.13384615384615,14,0.266204537,0.0878295317852589,21.732698984772,0.00404135408339298,626,115,741,115,0.314115671953767,0,0,0,0,1,1,3,2,102,0,0,1,0,7,1
"2","2009-549",16.153,2,"Mackenzie Shelf",2009,"260","2009-08-05","2009-06-22",44,12.1756506915521,29.4630833333333,4.13384615384615,14,0.266204537,0.058865268246729,25.3916179770658,0.00231829528547165,1172,110,1282,110,-0.101814313961443,0,5,0,0,0,0,0,0,150,0,0,0,0,0,1
"3","2009-551",12.307,1.846,"Mackenzie Shelf",2009,"260","2009-08-05","2009-06-22",44,12.1756506915521,29.4630833333333,4.13384615384615,14,0.266204537,0.0425518935774019,10.6646893481211,0.00398997965982935,986,106,1092,106,0.323986369822559,0,1,0,0,0,0,2,3,100,0,0,0,0,0,2
"4","2009-553",14.861,2,"Mackenzie Shelf",2009,"260","2009-08-05","2009-06-22",44,12.1756506915521,29.4630833333333,4.13384615384615,14,0.266204537,0.0765602183024614,19.4623786866087,0.00393375442618119,194,106,300,221,0.092960122712746,0,0,0,0,0,2,0,1,65,2,1,0,0,5,0
"5","2009-590",12.307,1.384,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.0127698915489247,10.6646893481211,0.00119739929894671,390,329,719,462.5,-0.138013630177441,0,0,0,0,0,0,15,1,1,0,0,3,0,1,13
"6","2009-591",10.923,1.076,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.000274495710852861,7.28909243797289,0.0000376584208786901,1178,91,1269,388,-0.237369806371653,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"7","2009-594",7.846,0.769,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.0034007037855047,2.53682657511591,0.00134053459501831,1177,116,1293,168,-0.0804991085028612,0,0,0,0,0,0,1,0,2,0,0,1,0,0,8
"8","2009-595",14.923,1.538,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.0261604423657549,19.7225821122097,0.00132642076057372,639,176,815,370.5,-0.378386638180288,0,0,5,0,0,0,9,12,0,0,0,2,0,9,3
"9","2009-596",10.461,0.923,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.00492761043903188,6.35040179293622,0.000775952545949618,1941,155,2096,747.5,-0.320721362297756,0,0,0,0,0,0,4,4,0,0,0,0,0,2,8
"10","2009-598",11.692,1.076,"Mackenzie Shelf",2009,"345","2009-08-15","2009-06-22",54,12.1756506915521,27.7580551892552,2.11825601620602,11.7142857142857,0.010588621,0.00426208895249603,9.05582419622822,0.000470646167609041,957,155,1112,596.5,-0.353299792286863,0,0,0,0,0,0,3,3,0,0,1,1,0,5,7
"11","2010-102",11.324,0.993,"Lancaster Sound",2010,"305","2010-08-08","2010-07-05",34,3.50126732940252,29.2814705882353,-0.812222222222222,19,0.178219996,0.00277346834156835,8.17753186519068,0.000339157142679465,649,208,857,429,-0.380822243760469,0,0,0,0,0,0,4,0,6,0,0,0,0,0,1
"12","2010-108",12.072,1.587,"Lancaster Sound",2010,"305","2010-08-08","2010-07-05",34,3.50126732940252,29.2814705882353,-0.812222222222222,19,0.178219996,0.00351178340823155,10.0285564367315,0.000350178356215755,1542,88,1630,180.5,0.100413608691316,0,0,0,0,0,0,3,1,2,0,0,0,0,0,4
"13","2010-112",13.568,1.854,"Lancaster Sound",2010,"305","2010-08-08","2010-07-05",34,3.50126732940252,29.2814705882353,-0.812222222222222,19,0.178219996,0.0252430685763243,14.557547064857,0.00173401936905037,1379,88,1467,355,0.141885313594887,0,0,3,1,0,0,11,5,0,0,0,3,0,7,5
"14","2010-14",17.947,2.553,"Lancaster Sound",2010,"301","2010-08-07","2010-07-05",33,3.50126732940252,28.5462537878788,0.59842803030303,12.5,0.903952092,0.0493931874647291,35.5301247106915,0.00139017771164383,600,169,769,308,0.180732636972385,0,0,0,1,0,2,2,2,14,0,3,0,0,3,0
"15","2010-145",9.446,1,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00246275429239819,4.58567869845603,0.000537053390423404,1143,150,1293,247,-0.0907058412263151,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2
"16","2010-146",11.965,1.322,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00689282212859084,9.74774617478112,0.000707119574617526,439,91,530,299.5,-0.148455691057803,0,0,0,0,0,0,4,3,2,0,0,4,0,0,6
"17","2010-147",10.363,1.125,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.0026460692458503,6.16256380169879,0.000429377987960283,1359,115,1474,300,-0.103947449918444,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2
"18","2010-149",11.752,1.111,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00107810013503967,9.20490427680713,0.000117122362451512,2401,333,2734,903.5,-0.327345044763993,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2
"19","2010-151",10.042,1.005,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.016148180756706,5.57402846042382,0.00289703952381294,781,132,913,265,-0.175555349165802,0,1,0,0,0,0,16,12,0,0,0,13,0,0,30
"20","2010-158",9.829,1.058,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00429193118966054,5.20556014120298,0.000824489790385688,1603,88,1691,318,-0.0904447028719917,0,0,0,0,0,0,3,4,3,0,0,1,0,0,7
"21","2010-163",10.363,1.164,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.000806050705072633,6.16256380169879,0.000130797948874855,1124,88,1212,280,-0.0649474499184445,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"22","2010-164",10.897,1.481,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00109559687729757,7.2338893728809,0.000151453363581264,375,147,522,259,0.171549803035103,0,0,0,0,0,0,0,3,4,0,1,0,0,0,3
"23","2010-168",9.401,0.952,"Peel Sound",2010,"310","2010-08-09","2010-08-16",-7,0.460334394540943,28.3282,0.019,6,0.143445048,0.00185735380169571,4.51635339869627,0.000411250767539997,1367,185,1552,262.890734824281,-0.131921901868468,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1
